"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","48","uiauto.basetest","test_base_fuction4","TestBaseFunc4","","","按条件查找记录",""
"failed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","30","uiauto.basetest","test_base_fuction2","TestBaseFunc2","","","增加新的记录1",""
"passed","Sat May 27 21:50:44 GMT+08:00 2023","Sat May 27 21:50:44 GMT+08:00 2023","1","apiauto","test_doit4","","","","test_print10",""
"failed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","6","apiauto","test_doit5","","","","test_print13",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","1","apiauto","test_doit7","Testcaserun7","","","test_add",""
"failed","Sat May 27 21:50:48 GMT+08:00 2023","Sat May 27 21:50:48 GMT+08:00 2023","30","uiauto.basetest","test_base_fuction5","TestBaseFunc5","","","更改记录1",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","2","apiauto","test_doit8","Testcaserun8","","","test_modify",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","1","apiauto","test_doit8","Testcaserun8","","","test_display",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","3","apiauto","test_doit5","","","","test_print12",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","0","apiauto","test_doit7","Testcaserun7","","","test_save",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","7","apiauto","test_doit6","Testcaserun6","","","test_print19",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","5","apiauto","test_doit6","","","","test_print16",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","11","apiauto","test_doit5","","","","test_print14",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","9","apiauto","test_doit8","Testcaserun8","","","test_add",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","4","apiauto","test_doit6","Testcaserun6","","","test_print18",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","1","apiauto","test_doit7","Testcaserun7","","","test_display",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","1","apiauto","test_doit7","Testcaserun7","","","test_search",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","1","apiauto","test_doit7","Testcaserun7","","","test_delete",""
"passed","Sat May 27 21:50:41 GMT+08:00 2023","Sat May 27 21:50:41 GMT+08:00 2023","0","apiauto","test_doit2","TestCaserun2","","","test_sample4",""
"failed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","3","apiauto","test_doit5","","","","test_print15",""
"passed","Sat May 27 21:50:37 GMT+08:00 2023","Sat May 27 21:50:37 GMT+08:00 2023","0","apiauto","test_doit4","TestCaserun5","","","test_print9",""
"passed","Sat May 27 21:50:48 GMT+08:00 2023","Sat May 27 21:50:48 GMT+08:00 2023","109","uiauto.basetest","test_base_fuction6","TestBaseFunc6","","","更改记录2",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","4","apiauto","test_doit8","Testcaserun8","","","test_search",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","1","apiauto","test_doit7","Testcaserun7","","","test_modify",""
"passed","Sat May 27 21:50:48 GMT+08:00 2023","Sat May 27 21:50:48 GMT+08:00 2023","36","uiauto.producttest","test_product01","Testproduct1","","","test_param",""
"failed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","2","apiauto","test_doit8","Testcaserun8","","","test_delete",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","2","apiauto","test_doit6","Testcaserun6","","","test_print17",""
"passed","Sat May 27 21:50:41 GMT+08:00 2023","Sat May 27 21:50:44 GMT+08:00 2023","3013","apiauto","test_doit3","TestCaserun3","","","test_sample6",""
"skipped","Sat May 27 21:50:41 GMT+08:00 2023","Sat May 27 21:50:41 GMT+08:00 2023","0","apiauto","test_doit3","TestCaserun3","","","test_sample5",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","49","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","登陆ZT管理系统",""
"passed","Sat May 27 21:50:39 GMT+08:00 2023","Sat May 27 21:50:41 GMT+08:00 2023","2015","apiauto","test_doit2","TestCaserun2","","","test_sample3",""
"failed","Sat May 27 21:50:48 GMT+08:00 2023","Sat May 27 21:50:48 GMT+08:00 2023","51","uiauto.basetest","test_base_fuction7","TestBaseFunc7","","","删除记录1",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","5","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","退出管理系统",""
"passed","Sat May 27 21:50:39 GMT+08:00 2023","Sat May 27 21:50:39 GMT+08:00 2023","1","apiauto","test_doit1","TestCaserun1","","","test_sample2",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","1","apiauto","test_doit8","Testcaserun8","","","test_save",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","51","apiauto","test_doit7","Testcaserun7","","","test_run",""
"passed","Sat May 27 21:50:46 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","30","apiauto","test_doit8","Testcaserun8","","","test_run",""
"passed","Sat May 27 21:50:47 GMT+08:00 2023","Sat May 27 21:50:47 GMT+08:00 2023","73","uiauto.basetest","test_base_fuction3","TestBaseFunc3","","","增加新的记录2",""
"passed","Sat May 27 21:50:37 GMT+08:00 2023","Sat May 27 21:50:37 GMT+08:00 2023","1","apiauto","test_doit4","TestCaserun5","","","test_print8",""
"passed","Sat May 27 21:50:48 GMT+08:00 2023","Sat May 27 21:50:48 GMT+08:00 2023","99","uiauto.basetest","test_base_fuction8","TestBaseFunc8","","","删除记录2",""
"passed","Sat May 27 21:50:37 GMT+08:00 2023","Sat May 27 21:50:39 GMT+08:00 2023","2005","apiauto","test_doit1","TestCaserun1","","","test_sample1",""
"passed","Sat May 27 21:50:44 GMT+08:00 2023","Sat May 27 21:50:46 GMT+08:00 2023","2031","apiauto","test_doit4","TestCaserun5","","","test_print11",""
